peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
99,,1027.513,0,44 candidates,,Oleanolic acid,1028.520276,455.35413528,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C2C1)C(=O)O,644.20112356,72.04225884,1.03603315245435,4,0,0,0,0,0,1,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,"X-HexA, -Pen-Pen-Pen","X-HexA, -Pen-Pen-Pen","X-HexA-Pen, -Pen-Pen","X-HexA, -Pen-Pen-Pen","X-HexA-Pen, -Pen-Pen",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol E,1028.520276,455.35413528,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(=O)C1)O,644.20112356,72.04225884,1.03603315245435,4,0,0,0,0,0,1,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,"X-HexA, -Pen-Pen-Pen","X-HexA, -Pen-Pen-Pen","X-HexA-Pen, -Pen-Pen","X-HexA, -Pen-Pen-Pen","X-HexA-Pen, -Pen-Pen",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol E,1028.520276,455.35413528,[M-H]-,NA,644.20112356,72.04225884,1.05129783251349,4,0,0,0,0,0,1,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,11-Deoxyo glycyrrhizic acid,1028.520276,455.35413528,[M-H]-,NA,644.20112356,72.04225884,1.05129783251349,4,0,0,0,0,0,1,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"22-Methoxy-furostan-3,26-diol",1028.520276,447.34905005,[M-H]-,NA,652.20620879,72.04225884,1.05593557273868,3,1,0,1,0,0,1,0,1,0,1,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"Furostan-3,22,26-triol",1028.520276,433.33339998,[M-H]-,NA,666.22185886,72.04225884,1.05586751371126,3,1,0,1,0,0,1,0,0,0,2,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol A,1028.520276,473.3647,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(C1O)O)O,626.19055884,72.04225884,1.03604287507742,3,1,0,0,0,0,1,1,0,0,2,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,"X-HexA, -dHex-dHex-Mal","X-HexA, -dHex-dHex-Mal","X-HexA-dHex, -dHex-Mal","X-HexA, -dHex-dHex-Mal","X-HexA-dHex, -dHex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol A,1028.520276,473.3647,[M-H]-,NA,626.19055884,72.04225884,1.05588695917924,3,1,0,0,0,0,1,1,0,0,2,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Diosgenin,1028.520276,413.30718507,[M-H]-,NA,686.24807377,72.04225884,1.051093654991,4,0,0,0,0,0,1,0,0,0,3,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Yamogenin,1028.520276,413.30718507,[M-H]-,NA,686.24807377,72.04225884,1.051093654991,4,0,0,0,0,0,1,0,0,0,3,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Spirost-25(27)-en-3-ol,1028.520276,413.30718507,[M-H]-,NA,686.24807377,72.04225884,1.051093654991,4,0,0,0,0,0,1,0,0,0,3,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Spirost-5-en-3-ol,1028.520276,413.30718507,[M-H]-,NA,686.24807377,72.04225884,1.051093654991,4,0,0,0,0,0,1,0,0,0,3,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
